benchmark,freq0,freq1,p-value
imagepr,lat1.25ghz,lat1.25ghz,1.0
imagepr,lat1.25ghz,lat3.25ghz,0.0334782745382974
imagepr,lat1.25ghz,lat1.0ghz,0.3721083307918155
imagepr,lat1.25ghz,lat1.5ghz,0.3223963931070317
imagepr,lat1.25ghz,lat4.0ghz,0.1266110955756814
imagepr,lat1.25ghz,lat3.5ghz,0.05609775409306572
imagepr,lat1.25ghz,lat3.0ghz,0.02185101152684265
imagepr,lat1.25ghz,lat2.75ghz,0.050762696291204314
imagepr,lat1.25ghz,lat2.0ghz,0.0478057953309806
imagepr,lat1.25ghz,lat1.75ghz,0.5094483563706427
imagepr,lat1.25ghz,lat2.25ghz,0.625600222132717
imagepr,lat1.25ghz,lat3.75ghz,0.09623437101346739
imagepr,lat1.25ghz,lat2.5ghz,1.0
imagepr,lat3.25ghz,lat1.25ghz,0.0334782745382974
imagepr,lat3.25ghz,lat3.25ghz,1.0
imagepr,lat3.25ghz,lat1.0ghz,0.012981225784060198
imagepr,lat3.25ghz,lat1.5ghz,0.023692021809198736
imagepr,lat3.25ghz,lat4.0ghz,0.8747731200482236
imagepr,lat3.25ghz,lat3.5ghz,0.8728480113583195
imagepr,lat3.25ghz,lat3.0ghz,0.8747731200482236
imagepr,lat3.25ghz,lat2.75ghz,0.9970756931433443
imagepr,lat3.25ghz,lat2.0ghz,0.0026755810630713322
imagepr,lat3.25ghz,lat1.75ghz,0.01439505000611623
imagepr,lat3.25ghz,lat2.25ghz,0.013627509251314965
imagepr,lat3.25ghz,lat3.75ghz,0.76097406487377
imagepr,lat3.25ghz,lat2.5ghz,0.0614535705959121
imagepr,lat1.0ghz,lat1.25ghz,0.3721083307918155
imagepr,lat1.0ghz,lat3.25ghz,0.012981225784060198
imagepr,lat1.0ghz,lat1.0ghz,1.0
imagepr,lat1.0ghz,lat1.5ghz,0.5346712115320105
imagepr,lat1.0ghz,lat4.0ghz,0.049318866069877676
imagepr,lat1.0ghz,lat3.5ghz,0.01763540345278234
imagepr,lat1.0ghz,lat3.0ghz,0.005426750955662699
imagepr,lat1.0ghz,lat2.75ghz,0.012321503340630922
imagepr,lat1.0ghz,lat2.0ghz,0.1624120073498867
imagepr,lat1.0ghz,lat1.75ghz,0.9073219836857066
imagepr,lat1.0ghz,lat2.25ghz,0.9230285075328326
imagepr,lat1.0ghz,lat3.75ghz,0.04198002086141872
imagepr,lat1.0ghz,lat2.5ghz,0.6743312931711412
imagepr,lat1.5ghz,lat1.25ghz,0.3223963931070317
imagepr,lat1.5ghz,lat3.25ghz,0.023692021809198736
imagepr,lat1.5ghz,lat1.0ghz,0.5346712115320105
imagepr,lat1.5ghz,lat1.5ghz,1.0
imagepr,lat1.5ghz,lat4.0ghz,0.07297213632623661
imagepr,lat1.5ghz,lat3.5ghz,0.04014687282296444
imagepr,lat1.5ghz,lat3.0ghz,0.015942976768561844
imagepr,lat1.5ghz,lat2.75ghz,0.023692021809198736
imagepr,lat1.5ghz,lat2.0ghz,0.18063688161006308
imagepr,lat1.5ghz,lat1.75ghz,0.9227150779556011
imagepr,lat1.5ghz,lat2.25ghz,0.7904673042664971
imagepr,lat1.5ghz,lat3.75ghz,0.04860997039232806
imagepr,lat1.5ghz,lat2.5ghz,0.8588166326085065
imagepr,lat4.0ghz,lat1.25ghz,0.1266110955756814
imagepr,lat4.0ghz,lat3.25ghz,0.8747731200482236
imagepr,lat4.0ghz,lat1.0ghz,0.049318866069877676
imagepr,lat4.0ghz,lat1.5ghz,0.07297213632623661
imagepr,lat4.0ghz,lat4.0ghz,1.0
imagepr,lat4.0ghz,lat3.5ghz,0.781530842287596
imagepr,lat4.0ghz,lat3.0ghz,0.9581041121246177
imagepr,lat4.0ghz,lat2.75ghz,0.7684305979618725
imagepr,lat4.0ghz,lat2.0ghz,0.007597604683611504
imagepr,lat4.0ghz,lat1.75ghz,0.05375670497585928
imagepr,lat4.0ghz,lat2.25ghz,0.004912999132733995
imagepr,lat4.0ghz,lat3.75ghz,0.6311378610429
imagepr,lat4.0ghz,lat2.5ghz,0.03044560889951122
imagepr,lat3.5ghz,lat1.25ghz,0.05609775409306572
imagepr,lat3.5ghz,lat3.25ghz,0.8728480113583195
imagepr,lat3.5ghz,lat1.0ghz,0.01763540345278234
imagepr,lat3.5ghz,lat1.5ghz,0.04014687282296444
imagepr,lat3.5ghz,lat4.0ghz,0.781530842287596
imagepr,lat3.5ghz,lat3.5ghz,1.0
imagepr,lat3.5ghz,lat3.0ghz,0.7646996047810372
imagepr,lat3.5ghz,lat2.75ghz,0.8921311149906492
imagepr,lat3.5ghz,lat2.0ghz,0.003985583582522477
imagepr,lat3.5ghz,lat1.75ghz,0.023692021809198736
imagepr,lat3.5ghz,lat2.25ghz,0.020454457508772554
imagepr,lat3.5ghz,lat3.75ghz,0.8326117205915313
imagepr,lat3.5ghz,lat2.5ghz,0.08409494583418849
imagepr,lat3.0ghz,lat1.25ghz,0.02185101152684265
imagepr,lat3.0ghz,lat3.25ghz,0.8747731200482236
imagepr,lat3.0ghz,lat1.0ghz,0.005426750955662699
imagepr,lat3.0ghz,lat1.5ghz,0.015942976768561844
imagepr,lat3.0ghz,lat4.0ghz,0.9581041121246177
imagepr,lat3.0ghz,lat3.5ghz,0.7646996047810372
imagepr,lat3.0ghz,lat3.0ghz,1.0
imagepr,lat3.0ghz,lat2.75ghz,0.8402454078213364
imagepr,lat3.0ghz,lat2.0ghz,0.0017340828515656171
imagepr,lat3.0ghz,lat1.75ghz,0.009793451326211967
imagepr,lat3.0ghz,lat2.25ghz,0.008344032727925126
imagepr,lat3.0ghz,lat3.75ghz,0.6451008206764677
imagepr,lat3.0ghz,lat2.5ghz,0.0400789538365872
imagepr,lat2.75ghz,lat1.25ghz,0.050762696291204314
imagepr,lat2.75ghz,lat3.25ghz,0.9970756931433443
imagepr,lat2.75ghz,lat1.0ghz,0.012321503340630922
imagepr,lat2.75ghz,lat1.5ghz,0.023692021809198736
imagepr,lat2.75ghz,lat4.0ghz,0.7684305979618725
imagepr,lat2.75ghz,lat3.5ghz,0.8921311149906492
imagepr,lat2.75ghz,lat3.0ghz,0.8402454078213364
imagepr,lat2.75ghz,lat2.75ghz,1.0
imagepr,lat2.75ghz,lat2.0ghz,0.002842959676522817
imagepr,lat2.75ghz,lat1.75ghz,0.015942976768561844
imagepr,lat2.75ghz,lat2.25ghz,0.013254005643245016
imagepr,lat2.75ghz,lat3.75ghz,0.7553961566908277
imagepr,lat2.75ghz,lat2.5ghz,0.060010180617220556
imagepr,lat2.0ghz,lat1.25ghz,0.0478057953309806
imagepr,lat2.0ghz,lat3.25ghz,0.0026755810630713322
imagepr,lat2.0ghz,lat1.0ghz,0.1624120073498867
imagepr,lat2.0ghz,lat1.5ghz,0.18063688161006308
imagepr,lat2.0ghz,lat4.0ghz,0.007597604683611504
imagepr,lat2.0ghz,lat3.5ghz,0.003985583582522477
imagepr,lat2.0ghz,lat3.0ghz,0.0017340828515656171
imagepr,lat2.0ghz,lat2.75ghz,0.002842959676522817
imagepr,lat2.0ghz,lat2.0ghz,1.0
imagepr,lat2.0ghz,lat1.75ghz,0.20724211154284822
imagepr,lat2.0ghz,lat2.25ghz,0.520535478157706
imagepr,lat2.0ghz,lat3.75ghz,0.007738395527403691
imagepr,lat2.0ghz,lat2.5ghz,0.2599209220557859
imagepr,lat1.75ghz,lat1.25ghz,0.5094483563706427
imagepr,lat1.75ghz,lat3.25ghz,0.01439505000611623
imagepr,lat1.75ghz,lat1.0ghz,0.9073219836857066
imagepr,lat1.75ghz,lat1.5ghz,0.9227150779556011
imagepr,lat1.75ghz,lat4.0ghz,0.05375670497585928
imagepr,lat1.75ghz,lat3.5ghz,0.023692021809198736
imagepr,lat1.75ghz,lat3.0ghz,0.009793451326211967
imagepr,lat1.75ghz,lat2.75ghz,0.015942976768561844
imagepr,lat1.75ghz,lat2.0ghz,0.20724211154284822
imagepr,lat1.75ghz,lat1.75ghz,1.0
imagepr,lat1.75ghz,lat2.25ghz,0.8619320737878301
imagepr,lat1.75ghz,lat3.75ghz,0.03955111022584798
imagepr,lat1.75ghz,lat2.5ghz,0.7550893145705139
imagepr,lat2.25ghz,lat1.25ghz,0.625600222132717
imagepr,lat2.25ghz,lat3.25ghz,0.013627509251314965
imagepr,lat2.25ghz,lat1.0ghz,0.9230285075328326
imagepr,lat2.25ghz,lat1.5ghz,0.7904673042664971
imagepr,lat2.25ghz,lat4.0ghz,0.004912999132733995
imagepr,lat2.25ghz,lat3.5ghz,0.020454457508772554
imagepr,lat2.25ghz,lat3.0ghz,0.008344032727925126
imagepr,lat2.25ghz,lat2.75ghz,0.013254005643245016
imagepr,lat2.25ghz,lat2.0ghz,0.520535478157706
imagepr,lat2.25ghz,lat1.75ghz,0.8619320737878301
imagepr,lat2.25ghz,lat2.25ghz,1.0
imagepr,lat2.25ghz,lat3.75ghz,0.03631634181006367
imagepr,lat2.25ghz,lat2.5ghz,0.5118737813617238
imagepr,lat3.75ghz,lat1.25ghz,0.09623437101346739
imagepr,lat3.75ghz,lat3.25ghz,0.76097406487377
imagepr,lat3.75ghz,lat1.0ghz,0.04198002086141872
imagepr,lat3.75ghz,lat1.5ghz,0.04860997039232806
imagepr,lat3.75ghz,lat4.0ghz,0.6311378610429
imagepr,lat3.75ghz,lat3.5ghz,0.8326117205915313
imagepr,lat3.75ghz,lat3.0ghz,0.6451008206764677
imagepr,lat3.75ghz,lat2.75ghz,0.7553961566908277
imagepr,lat3.75ghz,lat2.0ghz,0.007738395527403691
imagepr,lat3.75ghz,lat1.75ghz,0.03955111022584798
imagepr,lat3.75ghz,lat2.25ghz,0.03631634181006367
imagepr,lat3.75ghz,lat3.75ghz,1.0
imagepr,lat3.75ghz,lat2.5ghz,0.13620221870688143
imagepr,lat2.5ghz,lat1.25ghz,1.0
imagepr,lat2.5ghz,lat3.25ghz,0.0614535705959121
imagepr,lat2.5ghz,lat1.0ghz,0.6743312931711412
imagepr,lat2.5ghz,lat1.5ghz,0.8588166326085065
imagepr,lat2.5ghz,lat4.0ghz,0.03044560889951122
imagepr,lat2.5ghz,lat3.5ghz,0.08409494583418849
imagepr,lat2.5ghz,lat3.0ghz,0.0400789538365872
imagepr,lat2.5ghz,lat2.75ghz,0.060010180617220556
imagepr,lat2.5ghz,lat2.0ghz,0.2599209220557859
imagepr,lat2.5ghz,lat1.75ghz,0.7550893145705139
imagepr,lat2.5ghz,lat2.25ghz,0.5118737813617238
imagepr,lat2.5ghz,lat3.75ghz,0.13620221870688143
imagepr,lat2.5ghz,lat2.5ghz,1.0
linpack,4.25ghz,4.25ghz,1.0
linpack,4.25ghz,1.75ghz,0.8461535661468554
linpack,4.25ghz,2.25ghz,0.5219814481957432
linpack,4.25ghz,4.0ghz,0.3516793716607548
linpack,4.25ghz,3.75ghz,0.42631291323985965
linpack,4.25ghz,1.0ghz,0.20724211154284822
linpack,4.25ghz,2.5ghz,0.15665606830628992
linpack,4.25ghz,1.5ghz,0.6139282580548475
linpack,4.25ghz,3.25ghz,0.06528948950848884
linpack,4.25ghz,2.75ghz,0.6139282580548475
linpack,4.25ghz,4.75ghz,0.9690453003117911
linpack,4.25ghz,4.5ghz,0.2772314876173122
linpack,4.25ghz,5.0ghz,0.01888745461845923
linpack,4.25ghz,1.25ghz,0.7123855280840246
linpack,4.25ghz,2.0ghz,0.14031564937735788
linpack,4.25ghz,3.5ghz,0.013007466607958674
linpack,4.25ghz,3.0ghz,0.415118275851869
linpack,1.75ghz,4.25ghz,0.8461535661468554
linpack,1.75ghz,1.75ghz,1.0
linpack,1.75ghz,2.25ghz,0.3516793716607548
linpack,1.75ghz,4.0ghz,0.268742772421077
linpack,1.75ghz,3.75ghz,0.2859010589675479
linpack,1.75ghz,1.0ghz,0.13017242401938045
linpack,1.75ghz,2.5ghz,0.12060767859094357
linpack,1.75ghz,1.5ghz,0.9690453003117911
linpack,1.75ghz,3.25ghz,0.0436020520360401
linpack,1.75ghz,2.75ghz,0.5094483563706427
linpack,1.75ghz,4.75ghz,0.6003641276866312
linpack,1.75ghz,4.5ghz,0.6694793348058024
linpack,1.75ghz,5.0ghz,0.013733404308894272
linpack,1.75ghz,1.25ghz,0.8309905299998261
linpack,1.75ghz,2.0ghz,0.10730258670433653
linpack,1.75ghz,3.5ghz,0.007415319687152019
linpack,1.75ghz,3.0ghz,0.39325715704186925
linpack,2.25ghz,4.25ghz,0.5219814481957432
linpack,2.25ghz,1.75ghz,0.3516793716607548
linpack,2.25ghz,2.25ghz,1.0
linpack,2.25ghz,4.0ghz,0.5869371700692589
linpack,2.25ghz,3.75ghz,1.0
linpack,2.25ghz,1.0ghz,0.2772314876173122
linpack,2.25ghz,2.5ghz,0.42631291323985965
linpack,2.25ghz,1.5ghz,0.497074660807861
linpack,2.25ghz,3.25ghz,0.07745301640549514
linpack,2.25ghz,2.75ghz,0.7415144763294637
linpack,2.25ghz,4.75ghz,0.984519736863829
linpack,2.25ghz,4.5ghz,0.15105615728737953
linpack,2.25ghz,5.0ghz,0.0436020520360401
linpack,2.25ghz,1.25ghz,0.8008578418954853
linpack,2.25ghz,2.0ghz,0.2772314876173122
linpack,2.25ghz,3.5ghz,0.03971489002268778
linpack,2.25ghz,3.0ghz,0.6694793348058024
linpack,4.0ghz,4.25ghz,0.3516793716607548
linpack,4.0ghz,1.75ghz,0.268742772421077
linpack,4.0ghz,2.25ghz,0.5869371700692589
linpack,4.0ghz,4.0ghz,1.0
linpack,4.0ghz,3.75ghz,0.8158901548607471
linpack,4.0ghz,1.0ghz,0.6979738522659524
linpack,4.0ghz,2.5ghz,0.7562221220076069
linpack,4.0ghz,1.5ghz,0.17440038915018252
linpack,4.0ghz,3.25ghz,0.2772314876173122
linpack,4.0ghz,2.75ghz,0.3825931773694824
linpack,4.0ghz,4.75ghz,0.5219814481957432
linpack,4.0ghz,4.5ghz,0.06817204557664998
linpack,4.0ghz,5.0ghz,0.1683260949337354
linpack,4.0ghz,1.25ghz,0.4376816780828031
linpack,4.0ghz,2.0ghz,0.6414528745894932
linpack,4.0ghz,3.5ghz,0.12060767859094357
linpack,4.0ghz,3.0ghz,0.6414528745894932
linpack,3.75ghz,4.25ghz,0.42631291323985965
linpack,3.75ghz,1.75ghz,0.2859010589675479
linpack,3.75ghz,2.25ghz,1.0
linpack,3.75ghz,4.0ghz,0.8158901548607471
linpack,3.75ghz,3.75ghz,1.0
linpack,3.75ghz,1.0ghz,0.4376816780828031
linpack,3.75ghz,2.5ghz,0.4728155871746813
linpack,3.75ghz,1.5ghz,0.33197546708273695
linpack,3.75ghz,3.25ghz,0.12060767859094357
linpack,3.75ghz,2.75ghz,0.8309905299998261
linpack,3.75ghz,4.75ghz,0.7710186241805638
linpack,3.75ghz,4.5ghz,0.1253189420819512
linpack,3.75ghz,5.0ghz,0.059825636317548045
linpack,3.75ghz,1.25ghz,0.5605090914385145
linpack,3.75ghz,2.0ghz,0.3721083307918155
linpack,3.75ghz,3.5ghz,0.0436020520360401
linpack,3.75ghz,3.0ghz,0.6139282580548475
linpack,1.0ghz,4.25ghz,0.20724211154284822
linpack,1.0ghz,1.75ghz,0.13017242401938045
linpack,1.0ghz,2.25ghz,0.2772314876173122
linpack,1.0ghz,4.0ghz,0.6979738522659524
linpack,1.0ghz,3.75ghz,0.4376816780828031
linpack,1.0ghz,1.0ghz,1.0
linpack,1.0ghz,2.5ghz,0.5605090914385145
linpack,1.0ghz,1.5ghz,0.08419395035432709
linpack,1.0ghz,3.25ghz,0.7710186241805638
linpack,1.0ghz,2.75ghz,0.11160199172647282
linpack,1.0ghz,4.75ghz,0.24435472003272052
linpack,1.0ghz,4.5ghz,0.01529337103019893
linpack,1.0ghz,5.0ghz,0.22898533711961333
linpack,1.0ghz,1.25ghz,0.34173655502734857
linpack,1.0ghz,2.0ghz,0.9227150779556011
linpack,1.0ghz,3.5ghz,0.3721083307918155
linpack,1.0ghz,3.0ghz,0.268742772421077
linpack,2.5ghz,4.25ghz,0.15665606830628992
linpack,2.5ghz,1.75ghz,0.12060767859094357
linpack,2.5ghz,2.25ghz,0.42631291323985965
linpack,2.5ghz,4.0ghz,0.7562221220076069
linpack,2.5ghz,3.75ghz,0.4728155871746813
linpack,2.5ghz,1.0ghz,0.5605090914385145
linpack,2.5ghz,2.5ghz,1.0
linpack,2.5ghz,1.5ghz,0.14561009539686695
linpack,2.5ghz,3.25ghz,0.3721083307918155
linpack,2.5ghz,2.75ghz,0.3037847253883319
linpack,2.5ghz,4.75ghz,0.361803488317166
linpack,2.5ghz,4.5ghz,0.054746566574845876
linpack,2.5ghz,5.0ghz,0.12060767859094357
linpack,2.5ghz,1.25ghz,0.4040992479205485
linpack,2.5ghz,2.0ghz,0.5736510006245363
linpack,2.5ghz,3.5ghz,0.13517053560025727
linpack,2.5ghz,3.0ghz,0.20724211154284822
linpack,1.5ghz,4.25ghz,0.6139282580548475
linpack,1.5ghz,1.75ghz,0.9690453003117911
linpack,1.5ghz,2.25ghz,0.497074660807861
linpack,1.5ghz,4.0ghz,0.17440038915018252
linpack,1.5ghz,3.75ghz,0.33197546708273695
linpack,1.5ghz,1.0ghz,0.08419395035432709
linpack,1.5ghz,2.5ghz,0.14561009539686695
linpack,1.5ghz,1.5ghz,1.0
linpack,1.5ghz,3.25ghz,0.016130322106759073
linpack,1.5ghz,2.75ghz,0.7123855280840246
linpack,1.5ghz,4.75ghz,0.39325715704186925
linpack,1.5ghz,4.5ghz,0.42631291323985965
linpack,1.5ghz,5.0ghz,0.01529337103019893
linpack,1.5ghz,1.25ghz,0.6979738522659524
linpack,1.5ghz,2.0ghz,0.0990980154217605
linpack,1.5ghz,3.5ghz,0.013733404308894272
linpack,1.5ghz,3.0ghz,0.6276258050283593
linpack,3.25ghz,4.25ghz,0.06528948950848884
linpack,3.25ghz,1.75ghz,0.0436020520360401
linpack,3.25ghz,2.25ghz,0.07745301640549514
linpack,3.25ghz,4.0ghz,0.2772314876173122
linpack,3.25ghz,3.75ghz,0.12060767859094357
linpack,3.25ghz,1.0ghz,0.7710186241805638
linpack,3.25ghz,2.5ghz,0.3721083307918155
linpack,3.25ghz,1.5ghz,0.016130322106759073
linpack,3.25ghz,3.25ghz,1.0
linpack,3.25ghz,2.75ghz,0.028341832697381233
linpack,3.25ghz,4.75ghz,0.08419395035432709
linpack,3.25ghz,4.5ghz,0.004341518517797562
linpack,3.25ghz,5.0ghz,0.48486293237843714
linpack,3.25ghz,1.25ghz,0.19360407089423592
linpack,3.25ghz,2.0ghz,0.6414528745894932
linpack,3.25ghz,3.5ghz,0.48486293237843714
linpack,3.25ghz,3.0ghz,0.04566317848485905
linpack,2.75ghz,4.25ghz,0.6139282580548475
linpack,2.75ghz,1.75ghz,0.5094483563706427
linpack,2.75ghz,2.25ghz,0.7415144763294637
linpack,2.75ghz,4.0ghz,0.3825931773694824
linpack,2.75ghz,3.75ghz,0.8309905299998261
linpack,2.75ghz,1.0ghz,0.11160199172647282
linpack,2.75ghz,2.5ghz,0.3037847253883319
linpack,2.75ghz,1.5ghz,0.7123855280840246
linpack,2.75ghz,3.25ghz,0.028341832697381233
linpack,2.75ghz,2.75ghz,1.0
linpack,2.75ghz,4.75ghz,0.8461535661468554
linpack,2.75ghz,4.5ghz,0.3223963931070317
linpack,2.75ghz,5.0ghz,0.013007466607958674
linpack,2.75ghz,1.25ghz,0.953582510349677
linpack,2.75ghz,2.0ghz,0.13017242401938045
linpack,2.75ghz,3.5ghz,0.013733404308894272
linpack,2.75ghz,3.0ghz,0.8461535661468554
linpack,4.75ghz,4.25ghz,0.9690453003117911
linpack,4.75ghz,1.75ghz,0.6003641276866312
linpack,4.75ghz,2.25ghz,0.984519736863829
linpack,4.75ghz,4.0ghz,0.5219814481957432
linpack,4.75ghz,3.75ghz,0.7710186241805638
linpack,4.75ghz,1.0ghz,0.24435472003272052
linpack,4.75ghz,2.5ghz,0.361803488317166
linpack,4.75ghz,1.5ghz,0.39325715704186925
linpack,4.75ghz,3.25ghz,0.08419395035432709
linpack,4.75ghz,2.75ghz,0.8461535661468554
linpack,4.75ghz,4.75ghz,1.0
linpack,4.75ghz,4.5ghz,0.18703749337591546
linpack,4.75ghz,5.0ghz,0.03281712689483408
linpack,4.75ghz,1.25ghz,0.8008578418954853
linpack,4.75ghz,2.0ghz,0.20724211154284822
linpack,4.75ghz,3.5ghz,0.03971489002268778
linpack,4.75ghz,3.0ghz,0.9227150779556011
linpack,4.5ghz,4.25ghz,0.2772314876173122
linpack,4.5ghz,1.75ghz,0.6694793348058024
linpack,4.5ghz,2.25ghz,0.15105615728737953
linpack,4.5ghz,4.0ghz,0.06817204557664998
linpack,4.5ghz,3.75ghz,0.1253189420819512
linpack,4.5ghz,1.0ghz,0.01529337103019893
linpack,4.5ghz,2.5ghz,0.054746566574845876
linpack,4.5ghz,1.5ghz,0.42631291323985965
